frame,Risk_1,Risk_2,Risk3,Risk4
78,"(820, 381, 199, 55)","(471, 397, 33, 31)","(862, 382, 105, 47)",
79,"(817, 381, 199, 54)","(472, 397, 32, 31)","(866, 381, 104, 47)",
80,"(824, 381, 200, 53)","(472, 398, 32, 31)","(869, 380, 102, 47)",
81,"(819, 380, 199, 52)","(472, 398, 32, 31)","(872, 380, 101, 46)",
82,"(858, 381, 206, 50)","(475, 395, 31, 31)","(875, 379, 101, 46)",
83,"(864, 381, 210, 50)","(494, 395, 32, 32)","(877, 378, 100, 46)",
84,"(860, 381, 213, 50)","(498, 397, 33, 33)","(880, 379, 99, 45)",
85,"(869, 380, 214, 50)","(497, 394, 34, 35)","(885, 379, 99, 45)",
86,"(862, 380, 216, 50)","(496, 395, 35, 35)","(889, 379, 98, 45)",
87,"(870, 379, 215, 51)","(496, 394, 36, 36)","(893, 378, 98, 45)",
88,"(873, 379, 213, 51)","(495, 393, 37, 37)","(897, 378, 97, 44)",
89,"(873, 376, 212, 52)","(494, 393, 38, 37)","(900, 378, 96, 44)",
90,"(876, 375, 210, 52)","(493, 393, 38, 37)","(904, 378, 96, 43)",
91,"(879, 374, 209, 53)","(493, 393, 39, 37)","(906, 378, 95, 43)",
92,"(881, 373, 207, 53)","(493, 394, 40, 37)","(913, 377, 96, 43)",
93,"(882, 371, 206, 53)","(491, 392, 40, 37)","(913, 378, 96, 43)",
94,"(885, 368, 206, 54)","(494, 392, 39, 37)","(918, 376, 96, 42)",
95,"(888, 367, 204, 55)","(493, 392, 39, 37)","(918, 376, 97, 42)",
96,"(890, 367, 202, 55)","(495, 392, 38, 37)","(920, 376, 97, 42)",
97,"(893, 365, 200, 56)","(494, 391, 38, 37)","(921, 375, 97, 42)",
98,"(897, 365, 198, 57)","(495, 392, 37, 37)","(922, 375, 97, 42)",
99,"(898, 363, 196, 58)","(496, 392, 37, 37)","(922, 375, 97, 42)",
